id,title,description,preconditions,postconditions,tags,priority,severity,type,behavior,automation,status,is_flaky,layer,steps_type,steps_actions,steps_result,steps_data,milestone_id,milestone,suite_id,suite_parent_id,suite,suite_without_cases
,,,,,,,,,,,,,,,,,,,,1,,Final-Project,1
1,Admin-UserManagement,"Cek User","username (Admin) 
Password (admin123)",,,medium,normal,functional,positive,is-not-automated,actual,no,e2e,gherkin,"1. Given user memilih sub-menu User Management dalam menu Admin
2. And user mencari user (data: admin)
3. When user login menggunakan valid username dan password
4. Then muncul list user dengan username ""admin""
","1. 
2. 
3. 
4. 
","1. 
2. 
3. 
4. 
",,,1,,Final-Project,
2,"Cek Job Status",,"valid username and password",,,medium,normal,functional,negative,is-not-automated,actual,no,e2e,classic,"1. login menggunakan username dan password
2. klik menu Admin lalu sub-menu Employment Status. Klik tombol Add untuk menambahkan data.
","1. halaman awal terbuka
2. muncul notifikasi ""Succesfully Saved""
","1. Admin/admin123
2. tes
",,,1,,Final-Project,
3,"Cek Sub-menu Add Employee",,,,,undefined,normal,functional,negative,is-not-automated,actual,no,e2e,classic,"1. login dengan valid username dan password
2. klik menu PIM
3. pilih sub-menu Add Employee
","1. halaman awal terbuka
2. terbuka list sub-menu
3. employee already exist
","1. Admin/admin123
2. 
3. masukkan detail employee
",,,1,,Final-Project,
4,"Cek Skills",,,,,medium,normal,functional,undefined,is-not-automated,actual,no,e2e,classic,"1. pada halaman awal, pilih menu Admin
2. pilih sub-menu SKills
3. klik tombol Add, isi nama skill dan desc
","1. 
2. muncul list skills yang sudah terdaftar
3. muncul notifikasi Succesfully Saved
","1. 
2. 
3. Name: nari
Description: dancing
",,,1,,Final-Project,
5,"Cek Apply Leave",,,,,medium,normal,functional,positive,is-not-automated,actual,no,e2e,classic,"1. buka halaman utama
2. pilih menu Leave, klik sub-menu Leave
","1. 
2. muncul list dari Leave yang sudah di apply sebelumnya
","1. 
2. 
",,,1,,Final-Project,
6,"Cek Add Timesheet",,,,,medium,normal,functional,negative,is-not-automated,actual,no,e2e,classic,"1. pada main menu Time, pilih sub-menu Timesheet
2. klik tombol Add Timesheet
3. isi Select a Day to Create Timesheet
4. klik tombol OK
","1. muncul list untuk melihat My Timesheets
2. muncul pop up Add Timesheet
3. 
4. muncul notifikasi
","1. 
2. 
3. 2022-07-29
4. 
",,,1,,Final-Project,
7,"Cek Vacancies",,,,,low,normal,functional,positive,is-not-automated,actual,no,e2e,classic,"1. pilih menu Recruitment, lalu sub-menu Vacancies
2. pilih Automation Tester pada field ""Job Tittle"" untuk mencari available vacancies
","1. muncul list available vacancies
2. muncul list available vacancies untuk Automation Tester
","1. 
2. klik tombol Search
",,,1,,Final-Project,
8,"Cek My Info page",,,,,medium,normal,functional,positive,is-not-automated,actual,no,e2e,classic,"1. pilih menu My Info
2. pilih sub-menu Contact Details, klik tombol Edit
3. Edit field Country
4. klik tombol Save
","1. muncul halaman details tentan My Info
2. field Contact Details dapat diedit
3. 
4. muncul notifikasi Successfully Saved
","1. 
2. 
3. Indonesia
4. 
",,,1,,Final-Project,
9,"Cek Menu My Info - emergency contact","cek apakah user bisa menghapus emergency contact di menu My Info",,"data berhasil dihapus, emergency contact tidak terisi",,medium,normal,functional,undefined,is-not-automated,actual,no,e2e,classic,"1. login dengan username dan password
2. pilih menu Myinfo
3. klik Emergency contact link
4. klik check box pada list yang akan dihapus
5. klik tombol delete
","1. masuk ke halaman utama
2. 
3. 
4. 
5. muncul notifikasi Succesfully Delete
","1. Admin/admin123
2. 
3. 
4. 
5. 
",,,1,,Final-Project,
10,"Cek Menu Performance - My Trackers",,,"hasil pada form Manage Performance Tracker Log tidak terhapus ketika di klik tombol Clear",,medium,normal,functional,negative,is-not-automated,actual,no,unknown,classic,"1. login ke OrangeHRM dengan username dan password
2. pilih menu Performance lalu klik My Trackers
3. pilih nama Employee yang akan dilihat
4. klik pada nama Reviewer
5. klik tombol Clear untuk menhapus data hasil review
","1. halaman awal terbuka
2. halaman My Performance Trackers List terbuka
3. halaman hasil review/tracker terbuka
4. terbuka form Manage Performance Tracker Log
5. hasil review terhapus
","1. Admin/admin123
2. 
3. 
4. 
5. 
",,,1,,Final-Project,
11,"Cek Menu Dashboard",,,,,high,normal,functional,positive,is-not-automated,actual,no,e2e,classic,"1. login ke OrangeHRM dengan username dan password
2. pilih menu Dashboard
3. klik tombol Assign Leave
","1. halaman awal terbuka
2. halaman dashboard yang menampilkan ringkasan data terbuka
3. menuju ke halaman Menu Leave - submenu Assign Leave
","1. Admin/admin123
2. 
3. 
",,,1,,Final-Project,
12,"Cek Menu Directory",,,,,high,normal,functional,positive,is-not-automated,actual,no,e2e,classic,"1. login OrangeHRM
2. pilih menu Directory
3. Ketik keyword ""Admin""
4. klik tombol Reset
","1. halaman awal terbuka
2. halaman untuk Search Directory terbuka
3. list keyword yang menggunakan kata Admin akan muncul
4. kembali ke halaman Search Directory awal yang dengan seluruh list Directory
","1. Admin/admin123
2. 
3. 
4. 
",,,1,,Final-Project,
13,"Cek Menu Maintenance - Purge Records",,,,,medium,normal,functional,negative,is-not-automated,actual,no,e2e,classic,"1. login dengan username dan pasdword
2. klik menu Maintenance, lalu pilih Purge Records - Employee Records
3. masukkan password yang berbeda dengan password pada saat login
","1. halaman awal terbuka
2. terbuka halaman untuk verifikasi password
3. muncul notifikasi Incorrect Password
","1. Admin/admin123
2. 
3. qwerty
",,,1,,Final-Project,
14,"Cek Menu Buzz",,,,,medium,normal,functional,negative,is-not-automated,actual,no,e2e,classic,"1. login OrangeHRM
2. klik menu Buzz
3. klik menu untuk Upload Images, lalu pilih tombol Upload Images
4. pilih file yang akan diupload
","1. masuk ke halaman awal
2. halaman Buzz terbuka
3. muncul pop up untuk memilih image yang akan diupload
4. muncul pop up Sorry! dengan keterangan format file yang bisa diupload
","1. Admin/admin123
2. 
3. 
4. format .pdf
",,,1,,Final-Project,
15,"Cek Menu Buzz","click and unclick pada tombol Heart pada postingan yang telah dipost",,,,high,major,functional,negative,is-not-automated,actual,no,e2e,classic,"1. login OrangeHRM
2. pilih menu Buzz
3. pada postingan yang telah diupload, klik pada gambar hati, lalu klik lagi
","1. halaman awal terbuka
2. halaman Buzz terbuka
3. gambar hati berubah warna menjadi seperti sebelum di klik dan keterangan di bawah gambar yang dipload menjadi 0 lagi seperti awal
","1. Admin/admin123
2. 
3. 
",,,1,,Final-Project,
